Zip Code,Price,Status,Zestimate,Address,City,State,Bedrooms,Bathrooms,Size,Type,Year Built,Heating,Cooling,Parking,Lot Size,Price/sqft,URL
12009,"$215,197 ",Pre-foreclosure,"$215,197 ",5159 Western Tpke,Altamont,NY,3 bd,1 ba,"1,241 sqft",Single Family,1949,Forced air,Central,Attached Garage,0.67 acres,,https://www.zillow.com/homedetails/5159-Western-Tpke-Altamont-NY-12009/29706688_zpid/
12009,"$113,900 ",Lot/land, ,2243 W Old State Rd,Altamont,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/2243-W-Old-State-Rd-Altamont-NY-12009/246210895_zpid/
12010,"$7,500 ",Lot/land, ,00 W Glenville Rd,Amsterdam,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/00-W-Glenville-Rd-Amsterdam-NY-12010/2092125391_zpid/
12084,"$431,900 ",New construction,"$427,374 ",5 Danielle Dr,Guilderland,NY,3 bd,3 ba,"2,197 sqft",Single Family,No Data,Gas,Central,2 spaces,0.35 acres,$197 ,https://www.zillow.com/homedetails/5-Danielle-Dr-Guilderland-NY-12084/2079131272_zpid/
12084,"$419,900 ",New construction,"$415,500 ",14 Danielle Dr,Guilderland,NY,4 bd,3 ba,"2,095 sqft",Single Family,No Data,Gas,Central,2 spaces,0.35 acres,$200 ,https://www.zillow.com/homedetails/14-Danielle-Dr-Guilderland-NY-12084/2079131271_zpid/
12084,"$439,900 ",New construction,"$435,073 ",2 Danielle Dr,Guilderland,NY,4 bd,3 ba,"2,504 sqft",Single Family,No Data,Gas,Central,2 spaces,0.35 acres,$176 ,https://www.zillow.com/homedetails/2-Danielle-Dr-Guilderland-NY-12084/2079131273_zpid/
12084,"$413,900 ",New construction,"$409,563 ",12 Danielle Dr,Guilderland,NY,4 bd,3 ba,"2,066 sqft",Single Family,No Data,Gas,Central,2 spaces,0.35 acres,$200 ,https://www.zillow.com/homedetails/12-Danielle-Dr-Guilderland-NY-12084/2079131232_zpid/
12084,"$452,900 ",New construction,"$447,931 ",19 Danielle Dr,Guilderland,NY,3 bd,3 ba,"1,975 sqft",Single Family,No Data,Gas,Central,2 spaces,0.35 acres,$229 ,https://www.zillow.com/homedetails/19-Danielle-Dr-Guilderland-NY-12084/2079131170_zpid/
12084,"$423,900 ",New construction,"$419,458 ",16 Danielle Dr,Guilderland,NY,4 bd,3 ba,"2,219 sqft",Single Family,No Data,Gas,Central,2 spaces,0.35 acres,$191 ,https://www.zillow.com/homedetails/16-Danielle-Dr-Guilderland-NY-12084/2079131234_zpid/
12205,"$384,000 ",For sale,"$380,533 ",54 Shinnecock Hills Dr,Albany,NY,4 bd,3 ba,"2,280 sqft",,,,,,,,https://www.zillow.com/homedetails/54-Shinnecock-Hills-Dr-Albany-NY-12205/66463957_zpid/
12302,"$18,635 ",Lot/land, ,Ballston Rd,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Ballston-Rd-Schenectady-NY-12302/201944723_zpid/
12302,"$230,900 ",New construction,"$221,959 ",701 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",Condo,2020,Forced air,Central,1 space,No Data,$181 ,https://www.zillow.com/homedetails/701-Grayson-Pl-Schenectady-NY-12302/201943276_zpid/
12302,"$249,900 ",New construction,"$240,106 ",703 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/703-Grayson-Pl-Schenectady-NY-12302/201943277_zpid/
12302,"$230,900 ",New construction,"$221,890 ",704 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",,,,,,,,https://www.zillow.com/homedetails/704-Grayson-Pl-Schenectady-NY-12302/246201242_zpid/
12302,"$249,900 ",New construction,"$240,106 ",702 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/702-Grayson-Pl-Schenectady-NY-12302/201943278_zpid/
12302,"$230,900 ",New construction,"$221,959 ",904 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",Condo,2020,Forced air,Central,1 space,No Data,$181 ,https://www.zillow.com/homedetails/904-Grayson-Pl-Schenectady-NY-12302/201943280_zpid/
12302,"$230,900 ",New construction,"$221,959 ",901 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",Condo,2020,Forced air,Central,1 space,No Data,$181 ,https://www.zillow.com/homedetails/901-Grayson-Pl-Schenectady-NY-12302/201943279_zpid/
12302,"$249,900 ",New construction,"$240,106 ",902 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/902-Grayson-Pl-Schenectady-NY-12302/201943281_zpid/
12302,"$230,900 ",New construction,"$221,959 ",1201 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",Condo,2020,Forced air,Central,1 space,No Data,$181 ,https://www.zillow.com/homedetails/1201-Grayson-Pl-Schenectady-NY-12302/201943289_zpid/
12302,"$249,900 ",New construction,"$240,106 ",903 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/903-Grayson-Pl-Schenectady-NY-12302/201943282_zpid/
12302,"$249,900 ",New construction,"$240,106 ",1202 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/1202-Grayson-Pl-Schenectady-NY-12302/201943291_zpid/
12302,"$230,900 ",New construction,"$221,959 ",1204 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",Condo,2020,Forced air,Central,1 space,No Data,$181 ,https://www.zillow.com/homedetails/1204-Grayson-Pl-Schenectady-NY-12302/201943288_zpid/
12302,"$249,900 ",New construction,"$240,106 ",1203 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/1203-Grayson-Pl-Schenectady-NY-12302/201943290_zpid/
12302,"$224,900 ",For sale,"$222,988 ",36 Saint Stephens Ln E,Glenville,NY,2 bd,2 ba,"1,440 sqft",Single Family,1953,Baseboard,No Data,2 spaces,0.36 acres,$156 ,https://www.zillow.com/homedetails/36-Saint-Stephens-Ln-E-Glenville-NY-12302/32485512_zpid/
12302,"$240,900 ",For sale,"$238,848 ",4 Boyle Rd,Glenville,NY,4 bd,3 ba,"2,340 sqft",Single Family,1961,Other,Central,2 spaces,0.32 acres,$103 ,https://www.zillow.com/homedetails/4-Boyle-Rd-Glenville-NY-12302/32487147_zpid/
12302,"$506,900 ",For sale, ,00I Pine Hollow Dr,Charlton,NY,4 bd,3 ba,"2,640 sqft",Single Family,2016,Other,Central,2 spaces,$268/month,0.69 acres,https://www.zillow.com/homedetails/00I-Pine-Hollow-Dr-Charlton-NY-12302/2094032330_zpid/
12302,"$452,900 ",For sale, ,00A Pine Hollow Dr,Charlton,NY,3 bd,2 ba,"2,006 sqft",Single Family,2016,Other,Central,2 spaces,$268/month,0.69 acres,https://www.zillow.com/homedetails/00A-Pine-Hollow-Dr-Charlton-NY-12302/2094032324_zpid/
12302,"$37,500 ",Lot/land, ,921 Sacandaga Rd,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/921-Sacandaga-Rd-Glenville-NY-12302/2094965847_zpid/
12302,"$474,900 ",For sale, ,00 E Pine Hollow Dr,Charlton,NY,4 bd,3 ba,"2,455 sqft",Single Family,2016,Other,Central,2 spaces,$268/month,No Data,https://www.zillow.com/homedetails/00-E-Pine-Hollow-Dr-Charlton-NY-12302/2094032319_zpid/
12302,"$465,900 ",For sale, ,00D Pine Hollow Dr,Charlton,NY,4 bd,3 ba,"2,395 sqft",Single Family,2016,Other,Central,2 spaces,$268/month,0.69 acres,https://www.zillow.com/homedetails/00D-Pine-Hollow-Dr-Charlton-NY-12302/2094032321_zpid/
12302,"$673,900 ",For sale, ,00R Pine Hollow Dr,Charlton,NY,4 bd,3 ba,"3,493 sqft",Single Family,2016,Other,Central,2 spaces,$268/month,0.69 acres,https://www.zillow.com/homedetails/00R-Pine-Hollow-Dr-Charlton-NY-12302/2094032314_zpid/
12302,"$499,500 ",Lot/land, ,0 Fieldstone Ests,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/0-Fieldstone-Ests-Glenville-NY-12302/2092010295_zpid/
12302,"$400,000 ",New construction, ,510 Sanders Rd,Schenectady,NY,4 bd,3 ba,"2,400 sqft",Single Family,2018,Other,No Data,Detached Garage,5.3 acres,$167 ,https://www.zillow.com/homedetails/510-Sanders-Rd-Schenectady-NY-12302/119166280_zpid/
12302,"$1,100,000 ",Lot/land, ,0 Spring Rd,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/0-Spring-Rd-Glenville-NY-12302/2100992886_zpid/
